N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,FC_test,fc1/MatMul,769,641,49152,524288,262144,262144,98304,24,655384,131072,1024,65536,16384,32768,1,8,4
16,32,8,2,FC_test,fc2/MatMul,65808,57616,67108864,67108864,393216,393216,67108864,16384,67256320,131072,1024,65536,16384,32768,1,4,4
16,32,8,2,FC_test,fc3/MatMul,32096,23904,32768000,32768000,4128768,4128768,32768000,32768,32833536,32768,1024,65536,16384,32768,1,8,8

16,32,8,2,inceptionv3,conv0/Convolution,49094,4692,153453312,8192,45467648,45467648,153453312,4795416,27537432,22733824,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv1/Convolution,389038,76,1593188352,73728,88510464,88510464,1593188352,49787136,94116096,44255232,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv2/Convolution,778072,148,3186376704,147456,177020928,177020928,3186376704,99574272,188232192,88510464,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv3/Convolution,64031,83,218275840,40960,30012928,30012928,218275840,2728448,19140096,16370688,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv4/Convolution,1361226,156,5574942720,1105920,309719040,309719040,5574942720,87108480,243073920,154859520,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv5/Convolution,29518,118,120422400,98304,15052800,15052800,120422400,1881600,9506304,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv6/Convolution,29494,94,90316800,73728,13171200,13171200,90316800,1881600,9481728,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv7/Convolution,184030,280,752640000,614400,15052800,15052800,752640000,23520000,31660800,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv8/Convolution,29518,118,120422400,98304,15052800,15052800,120422400,1881600,9506304,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv9/Convolution,132454,154,541900800,442368,30105600,30105600,541900800,5644800,21139968,15052800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv10/Convolution,198604,154,812851200,663552,45158400,45158400,812851200,8467200,31709952,22579200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv11/Convolution,14836,136,60211200,49152,7526400,7526400,60211200,1881600,5693952,3763200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv12/Convolution,39350,150,160563200,131072,20070400,20070400,160563200,2508800,12675072,10035200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv13/Convolution,39318,118,120422400,98304,17561600,17561600,120422400,2508800,12642304,10035200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv14/Convolution,184030,280,752640000,614400,15052800,15052800,752640000,23520000,31660800,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv15/Convolution,39350,150,160563200,131072,20070400,20070400,160563200,2508800,12675072,10035200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv16/Convolution,132454,154,541900800,442368,30105600,30105600,541900800,5644800,21139968,15052800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv17/Convolution,198604,154,812851200,663552,45158400,45158400,812851200,8467200,31709952,22579200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv18/Convolution,39350,150,160563200,131072,20070400,20070400,160563200,2508800,12675072,10035200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv19/Convolution,44327,227,180633600,147456,5017600,5017600,180633600,2822400,5478656,2508800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv20/Convolution,44291,191,135475200,110592,4390400,4390400,135475200,2822400,5441792,2508800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv21/Convolution,184030,280,752640000,614400,15052800,15052800,752640000,23520000,31660800,7526400,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv22/Convolution,44327,227,180633600,147456,5017600,5017600,180633600,2822400,5478656,2508800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv23/Convolution,132454,154,541900800,442368,30105600,30105600,541900800,5644800,21139968,15052800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv24/Convolution,198604,154,812851200,663552,45158400,45158400,812851200,8467200,31709952,22579200,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv25/Convolution,44327,227,180633600,147456,5017600,5017600,180633600,2822400,5478656,2508800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv26/Convolution,561906,90,2301198336,7962624,127844352,127844352,2301198336,71912448,143797248,63922176,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv27/Convolution,44327,227,180633600,147456,5017600,5017600,180633600,2822400,5478656,2508800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv28/Convolution,132454,154,541900800,442368,30105600,30105600,541900800,5644800,21139968,15052800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv29/Convolution,12342,204,95883264,344064,1775616,1775616,95883264,2996352,4228224,887808,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv30/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv31/Convolution,55569,81,227278848,786432,28409856,28409856,227278848,1775616,16766976,14204928,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv32/Convolution,2521,209,18939904,65536,2367488,2367488,18939904,147968,1397248,1183744,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv33/Convolution,173739,339,1392082944,4915200,14204928,14204928,1392082944,43502592,55520256,7102464,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv34/Convolution,55569,81,227278848,786432,28409856,28409856,227278848,1775616,16766976,14204928,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv35/Convolution,453487,335,1856110592,6422528,18939904,18939904,1856110592,58003456,73895936,9469952,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv36/Convolution,9393,145,37879808,131072,4734976,4734976,37879808,295936,2794496,2367488,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv37/Convolution,453487,335,1856110592,6422528,18939904,18939904,1856110592,58003456,73895936,9469952,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv38/Convolution,3709,241,28409856,98304,3551232,3551232,28409856,147968,2021888,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv39/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv40/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv41/Convolution,69459,99,284098560,983040,35512320,35512320,284098560,1775616,20514816,17756160,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv42/Convolution,4476,141,29593600,122880,2959360,2959360,29593600,184960,1787520,1479680,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv43/Convolution,849995,335,3480207360,12042240,35512320,35512320,3480207360,108756480,138554880,17756160,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv44/Convolution,69459,99,284098560,983040,35512320,35512320,284098560,1775616,20514816,17756160,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv45/Convolution,180964,339,1450086400,5120000,14796800,14796800,1450086400,45315200,57833600,7398400,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv46/Convolution,4476,141,29593600,122880,2959360,2959360,29593600,184960,1787520,1479680,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv47/Convolution,708385,335,2900172800,10035200,29593600,29593600,2900172800,90630400,115462400,14796800,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv48/Convolution,17614,274,71024640,245760,3551232,3551232,71024640,369920,2391296,1775616,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv49/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv50/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv51/Convolution,69459,99,284098560,983040,35512320,35512320,284098560,1775616,20514816,17756160,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv52/Convolution,4476,141,29593600,122880,2959360,2959360,29593600,184960,1787520,1479680,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv53/Convolution,217089,339,1740103680,6144000,17756160,17756160,1740103680,54378240,69400320,8878080,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv54/Convolution,69459,99,284098560,983040,35512320,35512320,284098560,1775616,20514816,17756160,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv55/Convolution,180964,339,1450086400,5120000,14796800,14796800,1450086400,45315200,57833600,7398400,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv56/Convolution,4476,141,29593600,122880,2959360,2959360,29593600,184960,1787520,1479680,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv57/Convolution,180964,339,1450086400,5120000,14796800,14796800,1450086400,45315200,57833600,7398400,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv58/Convolution,5369,167,35512320,147456,3551232,3551232,35512320,184960,2108032,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv59/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv60/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv61/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv62/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv63/Convolution,1019927,335,4176248832,14450688,42614784,42614784,4176248832,130507776,166265856,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv64/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv65/Convolution,260439,339,2088124416,7372800,21307392,21307392,2088124416,65253888,83280384,10653696,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv66/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv67/Convolution,260439,339,2088124416,7372800,21307392,21307392,2088124416,65253888,83280384,10653696,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv68/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv69/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv70/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv71/Convolution,17420,140,141557760,8847360,3932160,3932160,141557760,442368,11255808,1966080,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv72/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv73/Convolution,20899,91,85229568,294912,10653696,10653696,85229568,2663424,8285184,5326848,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv74/Convolution,1019927,335,4176248832,14450688,42614784,42614784,4176248832,130507776,166265856,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv75/Convolution,10508,140,84934656,5308416,2359296,2359296,84934656,442368,6930432,1179648,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv76/Convolution,51238,38,209715200,13107200,53084160,53084160,209715200,6553600,20316160,655360,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv77/Convolution,61478,38,251658240,15728640,63700992,63700992,251658240,7864320,24379392,786432,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv78/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv79/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv80/Convolution,71718,38,293601280,18350080,74317824,74317824,293601280,9175040,28442624,917504,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv81/Convolution,48524,140,396361728,24772608,11010048,11010048,396361728,1032192,31309824,5505024,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv82/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv83/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv84/Convolution,30758,38,125829120,7864320,31850496,31850496,125829120,3932160,12189696,393216,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv85/Convolution,20608,128,167772160,5242880,10485760,10485760,167772160,524288,11010048,5242880,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv86/Convolution,24704,128,201326592,6291456,12582912,12582912,201326592,524288,13107200,6291456,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv87/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv88/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv89/Convolution,28800,128,234881024,7340032,14680064,14680064,234881024,524288,15204352,7340032,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv90/Convolution,48524,140,396361728,24772608,11010048,11010048,396361728,1032192,31309824,5505024,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv91/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv92/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv93/Convolution,12440,152,100663296,3145728,12976128,12976128,100663296,1572864,5111808,393216,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,fc94/MatMul,8072,7048,8192000,8192000,1056768,1056768,8192000,8192,8232960,32768,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv1_a/Convolution,72679,79,210830400,73728,10841600,10841600,421660800,8784600,15053528,6195200,1024,65536,16384,32768,1,8,4
16,32,8,2,AlexNet,conv1_b/Convolution,72679,79,210830400,73728,10841600,10841600,421660800,8784600,15053528,6195200,1024,65536,16384,32768,1,8,4
16,32,8,2,AlexNet,conv2_a/Convolution,55737,333,447897600,622592,5971968,5971968,447897600,13996800,17605376,2985984,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv2_b/Convolution,55737,333,447897600,622592,5971968,5971968,447897600,13996800,17605376,2985984,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv3_a/Convolution,36632,128,299040768,1769472,8306688,8306688,299040768,9345024,15267840,4153344,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv3_b/Convolution,36632,128,299040768,1769472,8306688,8306688,299040768,9345024,15267840,4153344,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv4_a/Convolution,27506,128,224280576,1327104,6230016,6230016,224280576,7008768,11450880,3115008,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv4_b/Convolution,27506,128,224280576,1327104,6230016,6230016,224280576,7008768,11450880,3115008,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv5_a/Convolution,18380,128,149520384,884736,4153344,4153344,149520384,4672512,7633920,2076672,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv5_b/Convolution,18380,128,149520384,884736,4153344,4153344,149520384,4672512,7633920,2076672,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc1/MatMul,147748,129316,150994944,150994944,1310720,1310720,150994944,36864,151162880,131072,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc2/MatMul,65808,57616,67108864,67108864,393216,393216,67108864,16384,67256320,131072,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc3/MatMul,32096,23904,32768000,32768000,4128768,4128768,32768000,32768,32833536,32768,1024,65536,16384,32768,1,8,8
